,description,name,price,img,size,color,composition,care
10,넓은 반소매 라운드넥 탑. 모델 신장: 177cm,볼륨 슬리브 탑,"35,000 원","['//static.zara.net/photos///2020/V/0/1/p/3519/002/712/2/w/560/3519002712_1_1_1.jpg?ts=1582212322657', '//static.zara.net/photos///2020/V/0/1/p/3519/002/712/2/w/560/3519002712_2_1_1.jpg?ts=1582212500483', '//static.zara.net/photos///2020/V/0/1/p/3519/002/712/2/w/560/3519002712_2_2_1.jpg?ts=1582212457720', '//static.zara.net/photos///2020/V/0/1/p/3519/002/712/2/w/560/3519002712_2_3_1.jpg?ts=1582212450324', '//static.zara.net/photos///2020/V/0/1/p/3519/002/712/2/w/560/3519002712_2_4_1.jpg?ts=1582212463860', '//static.zara.net/photos///2020/V/0/1/p/3519/002/712/2/w/560/3519002712_2_5_1.jpg?ts=1582212514243', '//static.zara.net/photos///2020/V/0/1/p/3519/002/712/2/w/560/3519002712_2_6_1.jpg?ts=1582212515193', '//static.zara.net/photos///2020/V/0/1/p/3519/002/712/2/w/560/3519002712_6_1_1.jpg?ts=1582276813831']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ', 'XL (KR 88) ']",크림,[],[]
11,라운드넥 긴소매 니트 스웨터. 양 옆면 하단 트임 디테일. 리브드 마감. 모델 신장: 177cm,베이직 스웨터,"22,000 원","['//static.zara.net/photos///2020/V/0/1/p/1509/015/752/2/w/560/1509015752_1_1_1.jpg?ts=1582131369740', '//static.zara.net/photos///2020/V/0/1/p/1509/015/752/2/w/560/1509015752_2_1_1.jpg?ts=1582131411860', '//static.zara.net/photos///2020/V/0/1/p/1509/015/752/2/w/560/1509015752_2_2_1.jpg?ts=1582131364311', '//static.zara.net/photos///2020/V/0/1/p/1509/015/752/2/w/560/1509015752_2_3_1.jpg?ts=1582131416015', '//static.zara.net/photos///2020/V/0/1/p/1509/015/752/2/w/560/1509015752_2_4_1.jpg?ts=1582131406308', '//static.zara.net/photos///2020/V/0/1/p/1509/015/752/2/w/560/1509015752_2_5_1.jpg?ts=1582131397255', '//static.zara.net/photos///2020/V/0/1/p/1509/015/752/2/w/560/1509015752_6_1_1.jpg?ts=1582289961265']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ', 'XL (KR 88) ']",라이트 샌드,[],[]
12,라운드넥 긴소매 니트 스웨터. 양 옆면 하단 트임 디테일. 리브드 마감. 모델 신장: 177cm,베이직 스웨터,"22,000 원","['//static.zara.net/photos///2020/V/0/1/p/1509/015/627/2/w/560/1509015627_1_1_1.jpg?ts=1582131363971', '//static.zara.net/photos///2020/V/0/1/p/1509/015/627/2/w/560/1509015627_2_1_1.jpg?ts=1582131296105', '//static.zara.net/photos///2020/V/0/1/p/1509/015/627/2/w/560/1509015627_2_2_1.jpg?ts=1582131297657', '//static.zara.net/photos///2020/V/0/1/p/1509/015/627/2/w/560/1509015627_2_3_1.jpg?ts=1582131300242', '//static.zara.net/photos///2020/V/0/1/p/1509/015/627/2/w/560/1509015627_2_4_1.jpg?ts=1582131424890', '//static.zara.net/photos///2020/V/0/1/p/1509/015/627/2/w/560/1509015627_2_5_1.jpg?ts=1582131364693', '//static.zara.net/photos///2020/V/0/1/p/1509/015/627/2/w/560/1509015627_6_1_1.jpg?ts=1582289961265']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ', 'XL (KR 88) ']",오렌지,[],[]
13,라운드넥 긴소매 니트 스웨터. 양 옆면 하단 트임 디테일. 리브드 마감. 모델 신장: 177cm,베이직 스웨터,"22,000 원","['//static.zara.net/photos///2020/V/0/1/p/1509/015/500/2/w/560/1509015500_1_1_1.jpg?ts=1582131235833', '//static.zara.net/photos///2020/V/0/1/p/1509/015/500/2/w/560/1509015500_2_1_1.jpg?ts=1582131205124', '//static.zara.net/photos///2020/V/0/1/p/1509/015/500/2/w/560/1509015500_2_2_1.jpg?ts=1582131220552', '//static.zara.net/photos///2020/V/0/1/p/1509/015/500/2/w/560/1509015500_2_3_1.jpg?ts=1582131212962', '//static.zara.net/photos///2020/V/0/1/p/1509/015/500/2/w/560/1509015500_2_4_1.jpg?ts=1582131206868', '//static.zara.net/photos///2020/V/0/1/p/1509/015/500/2/w/560/1509015500_2_5_1.jpg?ts=1582131221034', '//static.zara.net/photos///2018/V/0/1/p/1509/015/500/2/c-431-0-2048-3072/w/560/1509015500_2_6_1.jpg?ts=1527246392000', '//static.zara.net/photos///2018/V/0/1/p/1509/015/500/2/c-215-0-2048-3072/w/560/1509015500_2_7_1.jpg?ts=1527246392000', '//static.zara.net/photos///2020/V/0/1/p/1509/015/500/2/w/560/1509015500_6_1_1.jpg?ts=1582289961265']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ', 'XL (KR 88) ']",초록,[],[]
14,라운드넥 슬리브리스 탑. 배색된 앞면 스티치 디테일. 모델 신장: 177cm,니트 탑,"39,000 원","['//static.zara.net/photos///2020/V/0/1/p/6254/020/712/2/w/560/6254020712_1_1_1.jpg?ts=1582191288393', '//static.zara.net/photos///2020/V/0/1/p/6254/020/712/2/w/560/6254020712_2_1_1.jpg?ts=1582191422112', '//static.zara.net/photos///2020/V/0/1/p/6254/020/712/2/w/560/6254020712_2_2_1.jpg?ts=1582191377218', '//static.zara.net/photos///2020/V/0/1/p/6254/020/712/2/w/560/6254020712_2_3_1.jpg?ts=1582191398260', '//static.zara.net/photos///2020/V/0/1/p/6254/020/712/2/w/560/6254020712_2_4_1.jpg?ts=1582191351144', '//static.zara.net/photos///2020/V/0/1/p/6254/020/712/2/w/560/6254020712_2_5_1.jpg?ts=1582191264725', '//static.zara.net/photos///2020/V/0/1/p/6254/020/712/2/w/560/6254020712_6_1_1.jpg?ts=1582191441118']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ', 'XL (KR 88) ']",크림,"[{'겉감': '58% 비스코스, 26% 폴리에스터, 16% 나일론'}]","['최대 30 ºC로 기계 세탁단축 탈수.', '표백제 사용 금지', '최대 110 ºC로 다리미질', '드라이 클리닝 금지', '건조기 사용 금지', '빨래주머니를 사용하십시오']"
15,라운드넥 슬리브리스 탑. 배색된 앞면 스티치 디테일. 모델 신장: 177cm,니트 탑,"39,000 원","['//static.zara.net/photos///2020/V/0/1/p/6254/020/800/2/w/560/6254020800_1_1_1.jpg?ts=1582191291110', '//static.zara.net/photos///2020/V/0/1/p/6254/020/800/2/w/560/6254020800_2_1_1.jpg?ts=1582191519175', '//static.zara.net/photos///2020/V/0/1/p/6254/020/800/2/w/560/6254020800_2_2_1.jpg?ts=1582191489780', '//static.zara.net/photos///2020/V/0/1/p/6254/020/800/2/w/560/6254020800_2_3_1.jpg?ts=1582191519285', '//static.zara.net/photos///2020/V/0/1/p/6254/020/800/2/w/560/6254020800_2_4_1.jpg?ts=1582191537700', '//static.zara.net/photos///2020/V/0/1/p/6254/020/800/2/w/560/6254020800_2_5_1.jpg?ts=1582191517953', '//static.zara.net/photos///2020/V/0/1/p/6254/020/800/2/w/560/6254020800_2_6_1.jpg?ts=1582191474297', '//static.zara.net/photos///2020/V/0/1/p/6254/020/800/2/w/560/6254020800_6_1_1.jpg?ts=1582191518575']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ', 'XL (KR 88) ']",블랙,[],[]
16,신축성 있는 허리 디자인의 하이웨이스트 미디 스커트. A라인 마감 밑단. 배색된 앞면 스티치 디테일. 모델 신장: 177cm,니트 미디 스커트,"49,000 원","['//static.zara.net/photos///2020/V/0/1/p/6254/019/800/2/w/560/6254019800_1_1_1.jpg?ts=1582191282124', '//static.zara.net/photos///2020/V/0/1/p/6254/019/800/2/w/560/6254019800_2_1_1.jpg?ts=1582191264768', '//static.zara.net/photos///2020/V/0/1/p/6254/019/800/2/w/560/6254019800_2_2_1.jpg?ts=1582191355055', '//static.zara.net/photos///2020/V/0/1/p/6254/019/800/2/w/560/6254019800_2_3_1.jpg?ts=1582191399644', '//static.zara.net/photos///2020/V/0/1/p/6254/019/800/2/w/560/6254019800_2_4_1.jpg?ts=1582191424624', '//static.zara.net/photos///2020/V/0/1/p/6254/019/800/2/w/560/6254019800_2_5_1.jpg?ts=1582191429129', '//static.zara.net/photos///2020/V/0/1/p/6254/019/800/2/w/560/6254019800_2_6_1.jpg?ts=1582191411715', '//static.zara.net/photos///2020/V/0/1/p/6254/019/800/2/w/560/6254019800_6_1_1.jpg?ts=1582191413574']","['S (KR 25) ', 'M (KR 26) ', 'L (KR 27) ']",블랙,"[{'겉감': '56% 비스코스, 28% 폴리에스터, 16% 나일론'}]","['최대 30 ºC로 기계 세탁단축 탈수.', '표백제 사용 금지', '최대 110 ºC로 다리미질', '드라이 클리닝 금지', '건조기 사용 금지', '빨래주머니를 사용하십시오']"
17,라운드넥 긴소매 니트 스웨터. 리브드 마감. 배색 스트라이프 디테일. 모델 신장: 177cm,스트라이프 스웨터,"59,000 원","['//static.zara.net/photos///2020/V/0/1/p/6771/020/712/2/w/560/6771020712_1_1_1.jpg?ts=1582191282104', '//static.zara.net/photos///2020/V/0/1/p/6771/020/712/2/w/560/6771020712_2_1_1.jpg?ts=1582191467178', '//static.zara.net/photos///2020/V/0/1/p/6771/020/712/2/w/560/6771020712_2_2_1.jpg?ts=1582191496578', '//static.zara.net/photos///2020/V/0/1/p/6771/020/712/2/w/560/6771020712_2_3_1.jpg?ts=1582191500820', '//static.zara.net/photos///2020/V/0/1/p/6771/020/712/2/w/560/6771020712_2_4_1.jpg?ts=1582191526685', '//static.zara.net/photos///2020/V/0/1/p/6771/020/712/2/w/560/6771020712_2_5_1.jpg?ts=1582191468282', '//static.zara.net/photos///2020/V/0/1/p/6771/020/712/2/w/560/6771020712_2_6_1.jpg?ts=1582191471486', '//static.zara.net/photos///2020/V/0/1/p/6771/020/712/2/w/560/6771020712_6_1_1.jpg?ts=1582191448596']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ']",크림,"[{'겉감': '78% 면, 22% 폴리에스터'}]","['최대 30 ºC로 기계 세탁단축 탈수.', '표백제 사용 금지', '최대 110 ºC로 다리미질', '드라이 클리닝 금지', '건조기 사용 금지']"
18,"브이넥 긴소매 디자인의 짧은 재킷. 앞면 버튼 여밈. 모델 신장: 177cmJOIN LIFECare for fiber: 50% 이상 재생 폴리에스터 사용.재생 폴리에스터는 재활용 플라스틱병을 이용하여 제조되므로 적은 양의 물, 에너지 및 천연자원이 소모됩니다.",소프트 터치 재킷,"39,000 원","['//static.zara.net/photos///2020/V/0/1/p/7901/409/710/2/w/560/7901409710_1_1_1.jpg?ts=1582218811957', '//static.zara.net/photos///2020/V/0/1/p/7901/409/710/2/w/560/7901409710_2_1_1.jpg?ts=1582192614762', '//static.zara.net/photos///2020/V/0/1/p/7901/409/710/2/w/560/7901409710_2_2_1.jpg?ts=1582192625155', '//static.zara.net/photos///2020/V/0/1/p/7901/409/710/2/w/560/7901409710_2_3_1.jpg?ts=1582192645158', '//static.zara.net/photos///2020/V/0/1/p/7901/409/710/2/w/560/7901409710_2_4_1.jpg?ts=1582192650576', '//static.zara.net/photos///2020/V/0/1/p/7901/409/710/2/w/560/7901409710_2_5_1.jpg?ts=1582192636575', '//static.zara.net/photos///2020/V/0/1/p/7901/409/710/2/w/560/7901409710_2_6_1.jpg?ts=1582192661769', '//static.zara.net/photos///2018/V/M/1/p/1111/000/000/2/w/560/1111000000_2_34_1.jpg?ts=1548282396795', '//static.zara.net/photos///2020/V/0/1/p/7901/409/710/2/w/560/7901409710_6_1_1.jpg?ts=1582192637001']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ']",베이지,"[{'겉감': '85% 폴리에스터, 13% 비스코스, 2% 엘라스탄'}]","['최대 30 ºC로 손세탁', '표백제 사용 금지', '최대 110 ºC로 다리미질', '드라이 클리닝 금지', '건조기 사용 금지']"
19,넓은 어깨끈이 달린 스퀘어넥 탑. 모델 신장: 177cm,니트 크롭 탑,"25,000 원","['//static.zara.net/photos///2020/V/0/1/p/5536/015/321/3/w/560/5536015321_1_1_1.jpg?ts=1582125021814', '//static.zara.net/photos///2020/V/0/1/p/5536/015/321/3/w/560/5536015321_2_1_1.jpg?ts=1582125049556', '//static.zara.net/photos///2020/V/0/1/p/5536/015/321/3/w/560/5536015321_2_2_1.jpg?ts=1582125050976', '//static.zara.net/photos///2020/V/0/1/p/5536/015/321/3/w/560/5536015321_2_3_1.jpg?ts=1582125032047', '//static.zara.net/photos///2020/V/0/1/p/5536/015/321/3/w/560/5536015321_2_4_1.jpg?ts=1582125059166', '//static.zara.net/photos///2020/V/0/1/p/5536/015/321/3/w/560/5536015321_2_5_1.jpg?ts=1582125034199', '//static.zara.net/photos///2020/V/0/1/p/5536/015/321/3/w/560/5536015321_6_1_1.jpg?ts=1582135698852']","['S (KR 55) ', 'M (KR 66) ', 'L (KR 77) ']",파스텔 옐로우,"[{'겉감': '46% 비스코스, 27% 폴리에스터, 27% 나일론'}]","['최대 30 ºC로 손세탁', '표백제 사용 금지', '최대 110 ºC로 다리미질', '사염화 에틸렌 드라이 클리닝', '건조기 사용 금지']"
